Model Type,Experiment,Accuracy,F1,AUC
RoBERTa,In-Domain,0.903,0.906,0.957
RoBERTa,Out-Domain (wp),0.974,0.972,0.998
RoBERTa,Out-Domain (reuter),0.801,0.833,0.988
RoBERTa,Out-Domain (essay),0.531,0.693,0.936
RoBERTa,Out-Domain (Claude),0.815,0.878,0.908
